model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,identity,transformer.decoder.block.0.layer.2.DenseReluDense.wo.weight,81,cosine_similarity,0.029057089239358902,3072,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.q.weight,82,cosine_similarity,0.5297399163246155,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.q.weight,82,cosine_similarity,0.09873871505260468,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.k.weight,83,cosine_similarity,0.4975455403327942,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.k.weight,83,cosine_similarity,0.09873871505260468,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.v.weight,84,cosine_similarity,0.19340096414089203,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.v.weight,84,cosine_similarity,0.09873871505260468,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.o.weight,85,cosine_similarity,0.4812963306903839,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.o.weight,85,cosine_similarity,0.0672268494963646,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.q.weight,86,cosine_similarity,0.3538379967212677,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.q.weight,86,cosine_similarity,0.08585850149393082,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.k.weight,87,cosine_similarity,0.2795196771621704,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.k.weight,87,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.v.weight,88,cosine_similarity,0.293932169675827,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.v.weight,88,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.o.weight,89,cosine_similarity,0.23796269297599792,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.o.weight,89,cosine_similarity,0.067864790558815,768,768
