dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,cross
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,corr
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,drift
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,tot
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.8.layer.0.SelfAttention.k,49,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.8.layer.0.SelfAttention.v,50,0.04473622143268585,cross
qasc,transformer.encoder.block.8.layer.0.SelfAttention.v,50,0.0408291257917881,corr
qasc,transformer.encoder.block.8.layer.0.SelfAttention.v,50,0.3080238401889801,drift
qasc,transformer.encoder.block.8.layer.0.SelfAttention.v,50,0.30014777183532715,tot
