dataset,layer_name,step,cosine_similarity,type
Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_fc,1600,0.9979116916656494,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_proj,1600,0.998502790927887,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.q,1600,0.9950991868972778,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.k,1600,0.9950991868972778,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.v,1600,0.9950991868972778,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.o,1600,0.9910783767700195,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn,1600,0.9950991868972778,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_fc,1600,0.9980860352516174,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_proj,1600,1.0001887083053589,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.q,1600,0.9948263764381409,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.k,1600,0.9948263764381409,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.v,1600,0.9948263764381409,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.o,1600,0.990502119064331,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn,1600,0.9948263764381409,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_fc,1600,0.9974691271781921,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_proj,1600,1.001626968383789,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.q,1600,0.994104266166687,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.k,1600,0.994104266166687,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.v,1600,0.994104266166687,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.o,1600,0.9863483905792236,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn,1600,0.994104266166687,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_fc,1600,0.9962844252586365,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_proj,1600,0.9978394508361816,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.q,1600,0.9942979216575623,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.k,1600,0.9942979216575623,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.v,1600,0.9942979216575623,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.o,1600,0.9841914772987366,cross
