subset_id,method,task,size,retained,zs,relres
m4_02,actmat,RenderedSST2,4,0.9977973568281938,0.585941790225151,0.0184519807572278
m4_06,actmat,DTD,4,0.9234417344173442,0.4441489361702128,0.0616574948826125
m4_06,actmat,KMNIST,4,0.9950248756218906,0.0977,0.0155796747776889
m4_06,actmat,RESISC45,4,0.9625579854208085,0.6022222222222222,0.0492634218180748
m4_06,actmat,STL10,4,0.9951505870342011,0.97125,0.0914632389391457
m4_04,actmat,EMNIST,4,0.9991982562072509,0.171975,0.0087858258823948
m4_04,actmat,Flowers102,4,0.85412147505423,0.6631972678484307,0.1233775837320653
m4_04,actmat,STL10,4,0.9899183256763654,0.97125,0.0862220856866374
m4_04,actmat,SVHN,4,0.9476299392696585,0.3160725261216964,0.0140618680221356
m4_10,actmat,CIFAR10,4,0.9641909814323608,0.8983,0.0626658539741691
m4_10,actmat,FashionMNIST,4,0.9866848395890124,0.6302,0.0377425637532535
m4_10,actmat,GTSRB,4,0.9718647590120695,0.32557403008709423,0.0266419550691257
